cluster.table.column	Primprod_INCUB	Primprod_BIOMAD_SUSE_UMSC	Primprod_SUSE	Primprod_SMHI	Primprod_INSITU	Primprod_KMRS
sample.method_reference_code	REFSK	REFSK	REFSK	REFSK	REFSK	REFSK
sample.method_documentation	METDC	METDC<or>REFDC	METDC	METDC	METDC	METDC
sample.method_comment	Metodkommentar<or>COMNT_MET					
sample.sample_comment	COMNT_SAMP<or>Provkomment	COMNT_SAMP	COMNT_SAMP	COMNT_SAMP	COMNT_SAMP	COMNT_SAMP
sample.sampler_type_code	SMTYP	SMTYP	SMTYP	SMTYP	SMTYP	SMTYP
variable.sample_part_id	SUBNO	SUBNO	SUBNO	SUBNO	SUBNO	SUBNO
variable.analysis_method_code	METOA	METCO	METCO	METCO	METOA	METOA
variable.analytical_laboratory_code	ALABO	ALABO	ALABO	ALABO	ALABO	ALABO
variable.analytical_laboratory_accreditated	ACKR_ANA	ACKR_ANA	ACKR_ANA			
variable.variable_comment	COMNT_VAR<or>COMT_VAR	COMNT_PROD	COMNT_PROD<or>COMNT_VAR	COMNT_VAR<or>COMT_VAR	COMNT_VAR	COMNT_VAR
variable.incubation_start_time		ISTIM	ISTIM		ISTIM	ISTIM
variable.incubation_end_time		IETIM	IETIM			
variable.incubation_time_h	INTIM	INTIM	INTIM	INTIM<or>k2 = inkubationstid	INTIM	INTIM
variable.insolation_air	MEAN_LIGHT_D<or>Light_day (µE m^-2 d^-1)	INAIR	INAIR			
variable.incubation_radiation_e	INCUR<or>Light_hour (µE m^-2 s^-1)<or>INCUR1	_uEm2s		INCUR	INCUR	INCUR
variable.incubation_radiation_w	INCUR2					
variable.DPM_added	DPMA		DPMA	DPMA<or>DMP (tillsatt)	DPMA	DPMA
variable.DPM_sample	DPMS		DPMS	DPMS<or>DMP i prov	DPMS	DPMS
variable.DPM_darkness	DPMD<or>DARK_PROD					
sample.CREATE_VARIABLE.pH	PH<or>pH		PH	PH<or>pH		
sample.CREATE_VARIABLE.pH at 0 m					BERÄKNAT_PH_0M	BERÄKNAT_PH_0M
sample.CREATE_VARIABLE.pH at 20 m					BERÄKNAT_PH_20M	BERÄKNAT_PH_20M
sample.CREATE_VARIABLE.Alkalinity.mmol/l	ALKALINITET<or>ALKY<or>Alkalinitet		ALKY	ALKALINITET<or>ALKY<or>Alkalinitet	BERÄKNAD_ALKALINITET	BERÄKNAD_ALKALINITET
sample.CREATE_VARIABLE.Total CO2.mmol/l	TOTCO2<or>CO2TOT<or>Tot12CO2		TOTCO2<or>CO2TOT	TOTCO2<or>CO2TOT<or>Tot12CO2	BERÄKNAD_TOTCO2	BERÄKNAD_TOTCO2
variable.C14_batch					BATCH	BATCH
variable.COPY_VARIABLE.Chlorophyll-a.ug/l					CHLA_mg/m3	CHLA_mg/m3
sample.CREATE_VARIABLE.Chlorophyll-a.ug/l	CHLA_mg/m3			CHLA_mg/m3<or>Klorofyllvärde-slangprov		
variable.COPY_VARIABLE.Temperature.C						
sample.CREATE_VARIABLE.Temperature.C	TEMP<or>Temp			TEMP<or>Temp	TEMP	TEMP
variable.CREATE_VARIABLE.Temperature bottle.C	TEMP_BTL					
variable.COPY_VARIABLE.Salinity.o/oo psu					PSAL	PSAL
sample.CREATE_VARIABLE.Salinity.o/oo psu	PSAL<or>Salthalt			PSAL<or>Salthalt		
variable.COPY_VARIABLE.Salinity bottle.o/oo psu	SALT_BTL					
variable.QFLAG.Carbon production.mgC/m3/h	Q_PRIMPROD	PRHFLG	PRHFLG			
variable.QFLAG.Carbon production.mgC/m3/d		PRDFLG	PRDFLG			
variable.QFLAG.PAR at sampling depth		PARFLG	PARAD_UEM2			
variable.QFLAG.Carbon production.mgC/m2/d	QFLAG_TOTALPROD_mgC/m2/d<or>QFLAG		QFLAG	QFLAG_TOTALPROD_mgC/m2/d		
variable.QFLAG.Net carbon prod_prod-resp					QFLAG_PRODNETTO_mgC/m3/h	QFLAG_PRODNETTO_mgC/m3/h
TEMP.QFLAG.Secchi depth	Q_SECCHI					
variable.COPY_VARIABLE_MULTIPLY.Carbon production/hour.mgC/m3/h.1000		CPROD_GM3H	CPROD_GM3H			
sample.CREATE_VARIABLE.Carbon production.mgC/m3/d	PRODM3D<or>PRODDAY (mg C m^-3 day^-1)<or>PRODDAY			PRODM3D		
variable.COPY_VARIABLE.Carbon prod in light.mgC/m3/h	PROD<or>PROD  (mg C m^-3 hour^-1)<or>PROD_mgC/m3/h<or>PROD (mg C m^-3 h^-1)				PRODL_mgC/m3/h	PRODL_mgC/m3/h
variable.COPY_VARIABLE_MULTIPLY.Carbon production/day.mgC/m3/d.1000	CPROD_GM3D	CPROD_GM3D	CPROD_GM3D	CPROD_GM3D		
sample.CREATE_VARIABLE.Carbon production.mgC/m2/d	TOTALPROD_mgC/m2/d<or>TOTALPROD			PRODM2D	TOTALPROD_mgC/m2/d	TOTALPROD_mgC/m2/d
sample.CREATE_VARIABLE.Carbon production.mgC/m2/h			PROD			
sample.CREATE_VARIABLE.Integrated carbon production.mgC/m2/h					INTEGPROD_mgC/m2/h	INTEGPROD_mgC/m2/h
sample.CREATE_VARIABLE.Carbon production in darkness.mgC/m3/h	PRODD_mgC/m3/h<or>DARK_PROD<or>DARKM3H		DARK_PROD	DARKM3H		PRODD_mgC/m3/h
variable.COPY_VARIABLE.Carbon production in darkness.mgC/m3/h					PRODD_mgC/m3/h	
variable.COPY_VARIABLE.Net carbon prod_prod-resp.mgC/m3/h	PRODNETTO_mgC/m3/h			PRODM3H	PRODNETTO_mgC/m3/h	PRODNETTO_mgC/m3/h
variable.COPY_VARIABLE.Chl a-specific production.mgC/mgChl a/h					PROD/CHLA	PROD/CHLA
variable.COPY_VARIABLE.PAR at sampling depth.uE/m2/s		PARAD_UEM2<or>PARAD_UEM2S	PARAD_UEM2S	PARAD_UEM2S	PARAD_UEM2S	PARAD_UEM2S
variable.COPY_VARIABLE.Temperature CTD.C			TEMP_CTD			
variable.COPY_VARIABLE.Salinity CTD.o/oo psu			SALT_CTD			
variable.COPY_VARIABLE.Daylight conversion factor					BERÄKNAD_LFAC	BERÄKNAD_LFAC
variable.COPY_VARIABLE.Mean Chl a concentration 0-10m.mg Chl a/m3					CHLA_MEAN_0-10m_mg/m3	CHLA_MEAN_0-10m_mg/m3
variable.attenuation_coeff	ATT_COEFF<or>EXT_COEFF					
variable.ffactor_gargas1975	FFAKTOR_GARGAS1975<or>FFACTOR_GARGAS1975<or>FFACTOR					
sample.CREATE_VARIABLE.Alpha.mgC/m3/h/(uE/m2/s)	PI_SLOPE<or>PI_SLOPE (µmol C dm-3 h-1 (µmol quanta)-1 m2 s)			PI_SLOPE		
sample.CREATE_VARIABLE.Pmax.mgC/m3/h	Pmax<or>PMAX (mg C m^-3 h^-1)			Pmax		
variable.calculation_comment	COMNT_CALC<or>Provkommentar					
variable.qflag_attenuation_coeff	Q_ATT_COEFF<or>Q_EXT_COEFF					
variable.R2_PI_curve	R2P1<or>R2			R2P1<or>R2		
variable.n_step_PI_slope	nPI_SLOPE					
variable.n_step_PI	Antal värden i P/E-kurvan<or>Antal v?den i P/E-kurvan			Antal värden i P/E-kurvan<or>Antal v?den i P/E-kurvan		
dataset.reporting_institute_code					RLABO	RLABO
