cluster.table.column	ZP_SUSE	ZP_REG	ZP_UMSC-SMHI	ZP_JELLY
variable.COPY_VARIABLE.# counted.ind/analysed sample fraction	INDCOUNT<or>COUNTNR<or>COUNT	INDCOUNT<or>COUNTNR<or>COUNT	INDCOUNT<or>COUNTNR<or>COUNT	INDCOUNT<or>COUNTNR<or>COUNT
variable.COPY_VARIABLE.Dry weight.mg/analysed sample fraction	DRYWT	DRYWT	DRYWT	DRYWT
variable.COPY_VARIABLE_MULTIPLY.Wet weight.mg/analysed sample fraction.1000			WETWT	
variable.COPY_VARIABLE.Wet weight.mg/analysed sample fraction		WETWT		
variable.used_indwetwt.mg				WETWT
variable.used_indwetwt.MULTIPLY.1000	INDWETWT<or>INDWETWT_g	INDWETWT	INDWETWT	INDWETWT<or>WETWT
variable.used_indwetwt.DIVIDE.1000	INDWETWT_ug<or>WETWT	INDWETWT_ug		INDWETWT_ug
variable.COPY_VARIABLE.Carbon content.ug/analysed sample fraction	CCONT	CCONT	CCONT	
variable.COPY_VARIABLE.Carbon content.ug/m3		BMCCONT		BMCCONT
variable.COPY_VARIABLE.Body length.mm				BODY_LGTH
variable.COPY_VARIABLE.Length (mean).um		LENGTH_MEAN	LENGTH_AVERAGE<or>LENGTH_MEAN	
variable.COPY_VARIABLE.Length (median).um		LENGTH_MEDIAN	LENGTH_MEDIAN	
variable.COPY_VARIABLE.Integrated abundance.ind/m2	ABUND/M2<or>ABUNDM2		ABUND/M2<or>ABUNDM2	
variable.COPY_VARIABLE_MULTIPLY.Wet weight/area.mg/m2.1000	WETWTM2		WETWTM2	
variable.COPY_VARIABLE.Abundance.ind/m3	ABUNDM3	ABUNDM3	ABUNDM3	ABUND
variable.COPY_VARIABLE_MULTIPLY.Wet weight/volume.mg/m3.1000	WETWTM3		WETWTM3	WETWTM3
