cluster.table.column	ZB_BEDA	ZB
variable.dev_stage_code		STAGE
variable.counted_portions	cport	CPORT
variable.reported_scientific_name	namn	LATNM
variable.taxonomist	sorteratAv	TAXNM
variable.number_of_portions	nport	NPORT
variable.sample_part_id	bottenvatten.provnr	
variable.TEMP.sample_part_min_max_cm		SEDDEPTH
variable.sample_part_min_cm	ovreniv<or>ovreNiv<or>Niv	SPMAX
variable.sample_part_max_cm	nedreniv<or>nedreNiv	SPMIN
variable.preservation_method_code	METFP	METFP
variable.upper_mesh_size_um		MESH_UPPER
variable.lower_mesh_size_um		MESHS<or>MESH_LOWER
variable.upper_mesh_size_um.MULTIPLY.1000	ovreSall	
variable.lower_mesh_size_um.MULTIPLY.1000	nedreSall	
variable.upper_mesh_size_um	ovresall	
variable.lower_mesh_size_um	nedresall	
variable.COPY_VARIABLE.# counted.ind/analysed sample fraction	abundans<or>COUNT	COUNTNR<or>ABUND<or>COUNT
variable.COPY_VARIABLE.Non-quantified observation.observed		NOT_QUANTIFIED_OBSERVATION
variable.COPY_VARIABLE.Wet weight.g/analysed sample fraction	vatvikt	
variable.COPY_VARIABLE_DIVIDE.Wet weight.g/analysed sample fraction.1000		WETWT
variable.COPY_VARIABLE.Dry weight.g/analysed sample fraction	torrvikt	
variable.COPY_VARIABLE.Ash-free dry weight.g/analysed sample fraction	askfritorrvikt	
variable.COPY_VARIABLE.Temperature.C		TEMP
variable.COPY_VARIABLE.Salinity.ppt		PSAL
sample.CREATE_VARIABLE.Bottom water dissolved oxygen.mg/l		DOXY
sample.CREATE_VARIABLE.H2S smell	prov.h2s	HSUL<or>HSUL_SMELL<or>H2S_SMELL
sample.CREATE_VARIABLE.Loss on ignition.% dw		LOIGN<or>LOGIN
variable.COPY_VARIABLE.Loss on ignition.% dw	glodforlust	
variable.COPY_VARIABLE.Sediment dry weight content.%		
sample.CREATE_VARIABLE.Sediment dry weight content.%		SED_DW_%
variable.COPY_VARIABLE.Sediment water content.% ww	vattenhalt	WATER_CONT_SED
variable.COPY_VARIABLE.Redox potential.mV	redox	REDOX
sample.CREATE_VARIABLE.Sediment colour code.Rock Color Chart		COLOUR_SED_C
variable.COPY_VARIABLE.Sediment colour code.Rock Color Chart	sedfargkod	
variable.COPY_VARIABLE.Sediment sieve fraction.%	viktprocent	
sample.CREATE_VARIABLE.Sediment nitrogen content.mg/kg dried sediment		TOTAL KVÄVE (mg/kg TS)
sample.CREATE_VARIABLE.Sediment phosphorus content.mg/kg dried sediment		TOTAL FOSFOR (mg/kg TS)
variable.QFLAG.Ash-free dry weight	atvvprefix	
variable.QFLAG.Wet weight	vvprefix	
variable.QFLAG.Dry weight	tvprefix	
variable.COPY_VARIABLE.Bottom water salinity.	salinitet	
variable.COPY_VARIABLE.Bottom water temperature.C	temperatur	
variable.COPY_VARIABLE.Bottom water dissolved oxygen.mg/l	syrehalt	
variable.COPY_VARIABLE.Bottom water oxygen saturation.%	syremattnad	
sample.oxidized_layer_cm	OXID_L<or>oxideratskikt	
