sharkdata_physicalchemical	sharkdata_profile	sharkdata_chlorophyll	sharkdata_primaryproduction	sharkdata_sedimentation	sharkdata_bacterioplankton	sharkdata_picoplankton	sharkdata_phytoplankton	sharkdata_planktonbarcoding	sharkdata_zooplankton	sharkdata_epibenthos	sharkdata_epibenthos_dropvideo	sharkdata_zoobenthos	sharkdata_greyseal	sharkdata_harbourseal	sharkdata_ringedseal	sharkdata_harbourporpoise	sharkdata_sealpathology	sharkweb_all	sharkweb_overview	sharkdata_physicalchemical_columns	sharkdata_jellyfish	
										station_cluster		station_cluster						station_cluster		sample_location_id		
										station_exposure								station_exposure		station_id		
										station_marking								station_marking				
											station_N2000_code											
sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_en	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	sample_project_name_sv	
sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_en	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	sample_orderer_name_sv	
																				visit_date		
platform_code	platform_code	platform_code	platform_code	platform_code	platform_code	platform_code	platform_code	platform_code	platform_code	platform_code		platform_code						platform_code		sample_time	platform_code	
visit_id	visit_id	visit_id		visit_id					visit_id	visit_id	visit_date	visit_id						visit_id	visit_id	sample_enddate	visit_id	
expedition_id	expedition_id	expedition_id	expedition_id	expedition_id	expedition_id	expedition_id	expedition_id	expedition_id	expedition_id	expedition_id	expedition_id							expedition_id		sample_endtime	expedition_id	
visit_date	visit_date															visit_date		visit_date	visit_date	shark_sample_id		
																visit_enddate		visit_enddate				
																visit_logger_startdate		visit_logger_startdate				
																visit_logger_starttime		visit_logger_starttime				
																visit_logger_enddate		visit_logger_enddate				
																visit_logger_endtime		visit_logger_endtime				
shark_sample_id																		shark_sample_id		sample_latitude_dm		
		shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	shark_sample_id_md5	sample_longitude_dm	shark_sample_id_md5	
		sample_date	sample_date	sample_date	sample_date	sample_date	sample_date	sample_date	sample_date	sample_date		sample_date	sample_date	sample_date	sample_date		sample_date	sample_date	sample_date	sample_latitude_dd	sample_date	
sample_time	sample_time	sample_time	sample_time	sample_time	sample_time	sample_time	sample_time	sample_time	sample_time	sample_time		sample_time	sample_time	sample_time	sample_time	sample_time		sample_time	sample_time	sample_longitude_dd	sample_time	
sample_enddate	sample_enddate	sample_enddate		sample_enddate														sample_enddate	sample_enddate	positioning_system_code		
sample_endtime	sample_endtime	sample_endtime									positioning_system_code							sample_endtime	sample_endtime	water_depth_m		
sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	sample_latitude_dm	wind_direction_code	sample_latitude_dm	
sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	sample_longitude_dm	wind_speed_ms	sample_longitude_dm	
sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	sample_latitude_dd	air_temperature_degc	sample_latitude_dd	
sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	sample_longitude_dd	air_pressure_hpa	sample_longitude_dd	
positioning_system_code	positioning_system_code	positioning_system_code	positioning_system_code	positioning_system_code	positioning_system_code	positioning_system_code	positioning_system_code	positioning_system_code	positioning_system_code	positioning_system_code	positioning_system_code	positioning_system_code			positioning_system_code	positioning_system_code		positioning_system_code		weather_observation_code	positioning_system_code	
													obspoint					obspoint		cloud_observation_code		
													observation_distance_m					observation_distance_m		wave_observation_code		
water_depth_m	water_depth_m	water_depth_m	water_depth_m	water_depth_m	water_depth_m	water_depth_m	water_depth_m	water_depth_m	water_depth_m			water_depth_m				water_depth_m		water_depth_m	water_depth_m	ice_observation_code	water_depth_m	
wind_direction_code	wind_direction_code	wind_direction_code	wind_direction_code	wind_direction_code	wind_direction_code	wind_direction_code	wind_direction_code	wind_direction_code	wind_direction_code	wind_direction_code		wind_direction_code	wind_direction_code					wind_direction_code		Secchi depth (m)	wind_direction_code	
wind_speed_ms	wind_speed_ms	wind_speed_ms	wind_speed_ms	wind_speed_ms	wind_speed_ms	wind_speed_ms	wind_speed_ms	wind_speed_ms	wind_speed_ms	wind_speed_ms		wind_speed_ms	wind_speed_ms					wind_speed_ms		QFLAG Secchi depth	wind_speed_ms	
air_temperature_degc	air_temperature_degc	air_temperature_degc				air_temperature_degc	air_temperature_degc	air_temperature_degc	air_temperature_degc			air_temperature_degc						air_temperature_degc		additional_sampling	air_temperature_degc	
air_pressure_hpa	air_pressure_hpa	air_pressure_hpa				air_pressure_hpa	air_pressure_hpa	air_pressure_hpa	air_pressure_hpa			air_pressure_hpa						air_pressure_hpa		visit_comment	air_pressure_hpa	
weather_observation_code	weather_observation_code	weather_observation_code	weather_observation_code	weather_observation_code	weather_observation_code	weather_observation_code	weather_observation_code	weather_observation_code	weather_observation_code			weather_observation_code	weather_observation_code					weather_observation_code		sample_depth_m	weather_observation_code	
cloud_observation_code	cloud_observation_code	cloud_observation_code	cloud_observation_code	cloud_observation_code	cloud_observation_code	cloud_observation_code	cloud_observation_code	cloud_observation_code	cloud_observation_code			cloud_observation_code						cloud_observation_code		Pressure CTD (dbar)	cloud_observation_code	
wave_observation_code	wave_observation_code	wave_observation_code	wave_observation_code	wave_observation_code	wave_observation_code	wave_observation_code	wave_observation_code	wave_observation_code	wave_observation_code			wave_observation_code						wave_observation_code		QFLAG Pressure CTD	wave_observation_code	
						wave_exposure_fetch	wave_exposure_fetch	wave_exposure_fetch		wave_exposure_fetch								wave_exposure_fetch		Temperature bottle (C)		
										wave_height_m		wave_height_m						wave_height_m		QFLAG Temperature bottle		
ice_observation_code	ice_observation_code	ice_observation_code	ice_observation_code	ice_observation_code	ice_observation_code	ice_observation_code	ice_observation_code	ice_observation_code	ice_observation_code			ice_observation_code						ice_observation_code		Temperature CTD (C)	ice_observation_code	
secchi_depth_m		secchi_depth_m	secchi_depth_m		secchi_depth_m	secchi_depth_m	secchi_depth_m	secchi_depth_m	secchi_depth_m	secchi_depth_m	secchi_depth_m	secchi_depth_m						secchi_depth_m		QFLAG Temperature CTD	secchi_depth_m	
secchi_depth_quality_flag		secchi_depth_quality_flag			secchi_depth_quality_flag	secchi_depth_quality_flag	secchi_depth_quality_flag	secchi_depth_quality_flag	secchi_depth_quality_flag	secchi_depth_quality_flag	secchi_depth_quality_flag	secchi_depth_quality_flag						secchi_depth_quality_flag		Salinity bottle (o/oo psu)	secchi_depth_quality_flag	
additional_sampling	additional_sampling																	additional_sampling		QFLAG Salinity bottle		
visit_comment	visit_comment	visit_comment	visit_comment	visit_comment	visit_comment	visit_comment	visit_comment	visit_comment	visit_comment	visit_comment	visit_comment	visit_comment				visit_comment		visit_comment	visit_comment	Salinity CTD (o/oo psu)	visit_comment	
												sediment_type						sediment_type		QFLAG Salinity CTD		
										water_level_deviation_m								water_level_deviation_m		Conductivity_25 bottle (mS/m)		
										sample_cluster								sample_cluster		QFLAG Conductivity_25 bottle		
			sample_series		sample_series	sample_series	sample_series	sample_series		sample_series								sample_series		Conductivity CTD (mS/m)		
sample_id		sample_id	sample_id	sample_id	sample_id	sample_id	sample_id	sample_id	sample_id	sample_id	sample_id	sample_id	sample_id			sample_id	sample_id	sample_id	sample_id	QFLAG Conductivity CTD	sample_id	
sample_depth_m			sample_depth_m							sample_depth_m						sample_depth_m		sample_depth_m		Dissolved oxygen O2 bottle (ml/l)		
		sample_min_depth_m	sample_min_depth_m	sample_min_depth_m	sample_min_depth_m	sample_min_depth_m	sample_min_depth_m	sample_min_depth_m	sample_min_depth_m	sample_min_depth_m	sample_min_depth_m	sample_min_depth_m				sample_min_depth_m		sample_min_depth_m	sample_min_depth_m	QFLAG Dissolved oxygen O2 bottle	sample_min_depth_m	
		sample_max_depth_m	sample_max_depth_m	sample_max_depth_m	sample_max_depth_m	sample_max_depth_m	sample_max_depth_m	sample_max_depth_m	sample_max_depth_m	sample_max_depth_m	sample_max_depth_m	sample_max_depth_m				sample_max_depth_m		sample_max_depth_m	sample_max_depth_m	Dissolved oxygen O2 CTD (ml/l)	sample_max_depth_m	
				sample_depth_quality_flag														sample_depth_quality_flag		QFLAG Dissolved oxygen O2 CTD		
		sampling_laboratory_name_sv	sampling_laboratory_name_sv	sampling_laboratory_name_sv	sampling_laboratory_name_sv	sampling_laboratory_name_sv	sampling_laboratory_name_en	sampling_laboratory_name_sv	sampling_laboratory_name_sv	sampling_laboratory_name_sv	sampling_laboratory_name_sv	sampling_laboratory_name_sv	sampling_laboratory_name_sv	sampling_laboratory_name_sv	sampling_laboratory_name_sv	sampling_laboratory_name_sv	sampling_laboratory_name_sv	sampling_laboratory_name_sv	sampling_laboratory_name_sv		sampling_laboratory_name_sv	
																				Hydrogen sulphide H2S (umol/l)		
		sampling_laboratory_accreditated	sampling_laboratory_accreditated	sampling_laboratory_accreditated	sampling_laboratory_accreditated	sampling_laboratory_accreditated	sampling_laboratory_accreditated	sampling_laboratory_accreditated	sampling_laboratory_accreditated		sampling_laboratory_accreditated	sampling_laboratory_accreditated	sampling_laboratory_accreditated	sampling_laboratory_accreditated	sampling_laboratory_accreditated	sampling_laboratory_accreditated		sampling_laboratory_accreditated		QFLAG Hydrogen sulphide H2S	sampling_laboratory_accreditated	
		sampler_type_code	sampler_type_code	sampler_type_code	sampler_type_code	sampler_type_code	sampler_type_code	sampler_type_code	sampler_type_code	sampler_type_code		sampler_type_code		sampler_type_code	sampler_type_code	sampler_type_code		sampler_type_code		pH	sampler_type_code	
		sampled_volume_l			sampled_volume_l	sampled_volume_l	sampled_volume_l	sampled_volume_l	sampled_volume_l			sampled_volume_l						sampled_volume_l		QFLAG pH	sampled_volume_l	
										sampler_area_m2	sampler_area_m2							sampler_area_m2		pH Laboratory	sampler_area_m2	
									sampler_area_cm2	sampler_area_cm2		sampler_area_cm2						sampler_area_cm2		QFLAG pH Laboratory		
												oxidized_layer_cm						oxidized_layer_cm				
									wire_angle_deg									wire_angle_deg		Temperature pH Laboratory (C)	wire_angle_deg	
					plankton_sampling_method_code	plankton_sampling_method_code	plankton_sampling_method_code	plankton_sampling_method_code	plankton_sampling_method_code									plankton_sampling_method_code		QFLAG Temperature pH Laboratory	plankton_sampling_method_code	
						flowmeter_length_m			flowmeter_length_m									flowmeter_length_m		Alkalinity (mmol/kg)	flowmeter_length_m	
													sampled_by					sampled_by		QFLAG Alkalinity		
sample_comment		sample_comment	sample_comment	sample_comment	sample_comment	sample_comment	sample_comment	sample_comment	sample_comment	sample_comment		sample_comment		sample_comment		sample_comment	sample_comment	sample_comment	sample_comment	Alkalinity_2 (mmol/l)	sample_comment	
					scientific_name	scientific_name	scientific_name	scientific_name	scientific_name	scientific_name	scientific_name	scientific_name	scientific_name	scientific_name	scientific_name	scientific_name	scientific_name	scientific_name	scientific_name	QFLAG Alkalinity_2	scientific_name	
					species_flag_code	species_flag_code	species_flag_code	species_flag_code	species_flag_code	species_flag_code	species_flag_code	species_flag_code		species_flag_code	species_flag_code			species_flag_code	species_flag_code	Phosphate PO4-P (umol/l)	species_flag_code	
					dyntaxa_id	dyntaxa_id	dyntaxa_id	dyntaxa_id	dyntaxa_id	dyntaxa_id	dyntaxa_id	dyntaxa_id	dyntaxa_id	dyntaxa_id	dyntaxa_id	dyntaxa_id	dyntaxa_id	dyntaxa_id	dyntaxa_id	QFLAG Phosphate PO4-P	dyntaxa_id	
					aphia_id	aphia_id	aphia_id	aphia_id	aphia_id	aphia_id	aphia_id	aphia_id	aphia_id	aphia_id	aphia_id	aphia_id	aphia_id	aphia_id	aphia_id		aphia_id	
			DPM_added															DPM_added		Total phosphorus Tot-P (umol/l)		
			DPM_sample															DPM_sample		QFLAG Total phosphorus Tot-P		
			DPM_darkness															DPM_darkness		Nitrite NO2-N (umol/l)		
										substrate_code								substrate_code				
parameter		parameter	parameter	parameter	parameter	parameter	parameter	parameter	parameter	parameter	parameter	parameter	parameter	parameter	parameter	parameter	parameter	parameter	parameter	QFLAG Nitrite NO2-N	parameter	
value		value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	Nitrate NO3-N (umol/l)	value	
unit		unit	unit	unit	unit	unit	unit	unit	unit	unit	unit	unit	unit	unit	unit	unit	unit	unit	unit	QFLAG Nitrate NO3-N	unit	
quality_flag		quality_flag	quality_flag	quality_flag	quality_flag	quality_flag	quality_flag	quality_flag	quality_flag			quality_flag	quality_flag	quality_flag	quality_flag	quality_flag	quality_flag	quality_flag	quality_flag	Nitrite+Nitrate NO2+NO3-N (umol/l)	quality_flag	
		calc_by_dc	calc_by_dc	calc_by_dc	calc_by_dc	calc_by_dc	calc_by_dc	calc_by_dc	calc_by_dc	calc_by_dc	calc_by_dc	calc_by_dc	calc_by_dc	calc_by_dc	calc_by_dc	calc_by_dc	calc_by_dc	calc_by_dc		QFLAG Nitrite+Nitrate NO2+NO3-N	calc_by_dc	
			attenuation_coeff															attenuation_coeff				
			qflag_attenuation_coeff															qflag_attenuation_coeff				
			ffactor_gargas1975															ffactor_gargas1975				
			calculation_comment															calculation_comment				
			R2_PI_curve															R2_PI_curve				
			n_step_PI_slope															n_step_PI_slope				
			n_step_PI															n_step_PI				
								absolute_sequence_variant_id										absolute_sequence_variant_id				
								sequence										sequence				
								sample_replicate										sample_replicate				
								number_of_replicates										number_of_replicates				
								storage_temperature										storage_temperature				
								internal_standard										internal_standard				
								volume_filtered										volume_filtered				
								filtration_time										filtration_time				
								extraction_date										extraction_date				
								sequence_archive_accession										sequence_archive_accession				
								gene										gene				
								primer_pair										primer_pair				
								species_reference_list										species_reference_list				
								bioinformatic_analysis_date										bioinformatic_analysis_date				
								annotation_confidence										annotation_confidence				
								relative_abundance_comment										relative_abundance_comment				
																deployed_days_per_month		deployed_days_per_month				
																observation_date		observation_date				
																observation_time		observation_time				
																			calc_by_dc			
									sex_code								sex_code	sex_code	sex_code	Ammonium NH4-N (umol/l)	sex_code	
																	age_years	age_years				
																	body_length_cm	body_length_cm				
																	body_weight_kg	body_weight_kg				
																	blubber_thickness_cm	blubber_thickness_cm				
																	autolysis_class	autolysis_class				
																	regional_skin_changes_class	regional_skin_changes_class				
																	claw_lesions_class	claw_lesions_class				
																	parodontitis_class	parodontitis_class				
																	cronic_cholangiohepatitis_y_n	cronic_cholangiohepatitis_y_n				
																	intestinal_ulcer_class	intestinal_ulcer_class				
																	pneumonia_y_n	pneumonia_y_n				
																	arteriosclerosis_class	arteriosclerosis_class				
																	adreno_cort_hyperplasia_class	adreno_cort_hyperplasia_class				
																	kidney_glomerular_change_class	kidney_glomerular_change_class				
																	kidney_tubular_hyperplasia_class	kidney_tubular_hyperplasia_class				
																	uterus_pregnant_y_n	uterus_pregnant_y_n				
																	uterus_stenosis_occlusion_y_n	uterus_stenosis_occlusion_y_n				
																	uterus_tumour_y_n	uterus_tumour_y_n				
																	cause_of_death	cause_of_death				
									dev_stage_code		dev_stage_code	dev_stage_code			dev_stage_code			dev_stage_code	dev_stage_code	QFLAG Ammonium NH4-N	dev_stage_code	
					trophic_type_code	trophic_type_code	trophic_type_code	trophic_type_code										trophic_type_code	trophic_type_code	Total Nitrogen Tot-N (umol/l)		
						size_class	size_class		size_class	size_class								size_class	size_class	QFLAG Total Nitrogen Tot-N	size_class	
							size_class_ref_list_code															
						size_min_um	size_min_um		size_min_um									size_min_um		Silicate SiO3-Si (umol/l)	size_min_um	
						size_max_um	size_max_um		size_max_um									size_max_um		QFLAG Silicate SiO3-Si	size_max_um	
						size_class_ref_list_code												size_class_ref_list_code		Humus (ug/l)		
										degree_biofouling								degree_biofouling		QFLAG Humus		
																				Chlorophyll-a bottle (ug/l)		Chlorophyll-a bottle (ug/l)
										reproductive_organs								reproductive_organs		QFLAG Chlorophyll-a bottle		
										detached								detached		Dissolved organic carbon DOC (umol/l)		
										epibiont								epibiont		QFLAG Dissolved organic carbon DOC		
										stratum_code								stratum_code		Particulate organic carbon POC (umol/l)		
					reported_cell_volume_um3	reported_cell_volume_um3	reported_cell_volume_um3											reported_cell_volume_um3		QFLAG Particulate organic carbon POC		
			sample_part_id		sample_part_id	sample_part_id	sample_part_id		sample_part_id	sample_part_id		sample_part_id						sample_part_id		Total organic carbon TOC (mg/l)	sample_part_id	
										taxon_photo								taxon_photo		QFLAG Total organic carbon TOC		
						taxonomist	taxonomist		taxonomist	taxonomist		taxonomist		taxonomist	taxonomist			taxonomist		Particulate organic nitrogen PON (umol/l)	taxonomist	
analysis_method_code		analysis_method_code	analysis_method_code		analysis_method_code	analysis_method_code	analysis_method_code	analysis_method_code		analysis_method_code								analysis_method_code		QFLAG Particulate organic nitrogen PON		
					counter_program	counter_program	counter_program											counter_program		Current direction (deca degrees)		
		method_documentation	method_documentation	method_documentation	method_documentation	method_documentation	method_documentation	method_documentation	method_documentation	method_documentation	method_documentation	method_documentation	method_documentation	method_documentation	method_documentation	method_documentation	method_documentation	method_documentation	method_documentation	QFLAG Current direction	method_documentation	
method_reference_code		method_reference_code	method_reference_code	method_reference_code	method_reference_code	method_reference_code	method_reference_code	method_reference_code	method_reference_code	method_reference_code		method_reference_code	method_reference_code					method_reference_code	method_reference_code	Current velocity (cm/s)	method_reference_code	
			method_comment			method_comment	method_comment	method_comment		method_comment								method_comment		QFLAG Current velocity		
				image_id						image_id			image_id	image_id	image_id			image_id		Lignin (mg/l)		
										fauna_flora_found		fauna_flora_found	fauna_flora_found	fauna_flora_found	fauna_flora_found			fauna_flora_found		QFLAG Lignin		
																				Yellow substance (1/l)		
																	finding_circumstances	finding_circumstances		QFLAG Yellow substance		
									calculation_method									calculation_method		Aluminium (ug/l)	calculation_method	
									sample_splitting_code									sample_splitting_code		QFLAG Aluminium	sample_splitting_code	
				factors_influencing_code								factors_influencing_code						factors_influencing_code		Urea (umol/l)		
				aggregated_subsamples														aggregated_subsamples		QFLAG Urea		
										sediment_deposition_code								sediment_deposition_code		Coloured dissolved organic matter CDOM (1/m)		
										sediment_comment								sediment_comment		QFLAG Coloured dissolved organic matter CDOM		
										diver_name								diver_name		Turbidity TURB (FNU)		
																				QFLAG Turbidity TURB		
										video_interpreted								video_interpreted		sample_comment		
										sample_photo_code								sample_photo_code		location_water_category		
variable_comment		variable_comment	variable_comment	variable_comment	variable_comment	variable_comment	variable_comment	variable_comment	variable_comment	variable_comment	variable_comment	variable_comment	variable_comment	variable_comment	variable_comment	variable_comment		variable_comment	variable_comment	location_water_district	variable_comment	
estimation_uncertainty		estimation_uncertainty																estimation_uncertainty		location_svar_sea_area_name		
method_calculation_uncertainty		method_calculation_uncertainty																method_calculation_uncertainty		location_svar_sea_area_code		
quantification_limit		quantification_limit																quantification_limit		location_type_area		
detection_limit		detection_limit																detection_limit		location_sea_basin		
analysis_range		analysis_range																analysis_range		location_helcom_ospar_area		
analytical_laboratory_code		analytical_laboratory_name_sv	analytical_laboratory_name_sv	analytical_laboratory_name_sv	analytical_laboratory_name_sv	analytical_laboratory_name_sv	analytical_laboratory_name_en	analytical_laboratory_name_sv	analytical_laboratory_name_sv	analytical_laboratory_name_sv	analytical_laboratory_name_sv	analytical_laboratory_name_sv	analytical_laboratory_name_sv	analytical_laboratory_name_sv	analytical_laboratory_name_sv	analytical_laboratory_name_sv	analytical_laboratory_name_sv	analytical_laboratory_code	analytical_laboratory_name_sv	analytical_laboratory_code	analytical_laboratory_name_sv	
																		analytical_laboratory_name_sv		location_economic_zone		
analytical_laboratory_accreditated		analytical_laboratory_accreditated	analytical_laboratory_accreditated	analytical_laboratory_accreditated	analytical_laboratory_accreditated	analytical_laboratory_accreditated	analytical_laboratory_accreditated	analytical_laboratory_accreditated	analytical_laboratory_accreditated			analytical_laboratory_accreditated	analytical_laboratory_accreditated	analytical_laboratory_accreditated		analytical_laboratory_accreditated		analytical_laboratory_accreditated		location_county	analytical_laboratory_accreditated	
					analysed_by				analysed_by	analysed_by		analysed_by						analysed_by		location_municipality	analysed_by	
		analysis_date			analysis_date	analysis_date	analysis_date	analysis_date	analysis_date			analysis_date						analysis_date		station_viss_eu_id	analysis_date	
					analysed_volume_cm3													analysed_volume_cm3				
				preservation_method_code	preservation_method_code	preservation_method_code	preservation_method_code	preservation_method_code	preservation_method_code	preservation_method_code		preservation_method_code						preservation_method_code		data_holding_centre	preservation_method_code	
				mesh_size_um		mesh_size_um	mesh_size_um		mesh_size_um									mesh_size_um		internet_access	mesh_size_um	
												upper_mesh_size_um						upper_mesh_size_um		dataset_name		
												lower_mesh_size_um						lower_mesh_size_um		dataset_file_name		
									number_of_portions			number_of_portions						number_of_portions			number_of_portions	
					counted_portions				counted_portions			counted_portions						counted_portions			counted_portions	
						sedimentation_volume_ml	sedimentation_volume_ml											sedimentation_volume_ml				
						sedimentation_time_h	sedimentation_time_h											sedimentation_time_h				
												sample_part_min_cm						sample_part_min_cm				
												sample_part_max_cm						sample_part_max_cm				
			incubation_start_time															incubation_start_time				
			incubation_end_time															incubation_end_time				
			incubation_time_h															incubation_time_h				
			insolation_air															insolation_air				
			incubation_radiation_e															incubation_radiation_e				
			incubation_radiation_w															incubation_radiation_w				
			C14_batch															C14_batch				
				salinity_correction														salinity_correction				
																	matrix_analysed_code	matrix_analysed_code				
						wavelength_excitation												wavelength_excitation				
						wavelength_emission												wavelength_emission				
					coefficient	coefficient	coefficient	coefficient							coefficient			coefficient				
						magnification	magnification		magnification									magnification			magnification	
						picotype												picotype				
					replicate_no	replicate_no	replicate_no											replicate_no				
						coefficient_fgC_cell												coefficient_fgC_cell				
sampler_type_code_phyche																		sampler_type_code_phyche				
sampling_method_reference_code_phyche																		sampling_method_reference_code_phyche				
sampling_method_comment_phyche																		sampling_method_comment_phyche				
sampling_laboratory_code_phyche																		sampling_laboratory_code_phyche		sampling_laboratory_code_phyche		
sampling_laboratory_accreditated_phyche																		sampling_laboratory_accreditated_phyche				
										bottom_slope_deg								bottom_slope_deg				
										transect_comment					transect_comment			transect_comment				
										transect_direction_deg								transect_direction_deg				
										transect_start_latitude_dd	transect_start_latitude_dd							transect_start_latitude_dd				
										transect_start_longitude_dd	transect_start_longitude_dd							transect_start_longitude_dd				
										transect_end_latitude_dd	transect_end_latitude_dd							transect_end_latitude_dd				
										transect_end_longitude_dd	transect_end_longitude_dd							transect_end_longitude_dd				
															visit_transect_start_latitude_dd			visit_transect_start_latitude_dd				
															visit_transect_start_longitude_dd			visit_transect_start_longitude_dd				
															visit_transect_end_latitude_dd			visit_transect_end_latitude_dd				
															visit_transect_end_longitude_dd			visit_transect_end_longitude_dd				
										shark_transect_id_md5	shark_transect_id_md5				shark_transect_id_md5			shark_transect_id_md5				
